,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.001794624,0.000398541,0.005385971,0.000797999,auto,11,uniform,"{'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'uniform'}",0.683673469,0.673469388,0.673469388,0.642857143,0.755102041,0.685714286,0.037297279,1
14,0.002194118,0.000399137,0.005385256,0.00048922,auto,11,,"{'algorithm': 'auto', 'n_neighbors': 11, 'weights': None}",0.683673469,0.673469388,0.673469388,0.642857143,0.755102041,0.685714286,0.037297279,1
57,0.002793264,0.00039897,0.003988314,3.16E-07,brute,11,uniform,"{'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'uniform'}",0.683673469,0.673469388,0.673469388,0.642857143,0.755102041,0.685714286,0.037297279,1
59,0.002993059,2.34E-07,0.003988123,4.42E-07,brute,11,,"{'algorithm': 'brute', 'n_neighbors': 11, 'weights': None}",0.683673469,0.673469388,0.673469388,0.642857143,0.755102041,0.685714286,0.037297279,1
13,0.001795006,0.000399208,0.002593184,0.000489026,auto,11,distance,"{'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance'}",0.704081633,0.673469388,0.632653061,0.693877551,0.693877551,0.679591837,0.025489788,5
58,0.001994371,0.000631128,0.00259347,0.000797963,brute,11,distance,"{'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance'}",0.704081633,0.673469388,0.632653061,0.693877551,0.693877551,0.679591837,0.025489788,5
10,0.001994848,0.000630977,0.002991724,0.000630676,auto,9,distance,"{'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance'}",0.714285714,0.673469388,0.62244898,0.693877551,0.683673469,0.67755102,0.030680197,7
55,0.002194548,0.000399161,0.002991629,0.00063045,brute,9,distance,"{'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'distance'}",0.714285714,0.673469388,0.62244898,0.693877551,0.683673469,0.67755102,0.030680197,7
21,0.003590536,0.001196885,0.006382418,0.001352627,ball_tree,7,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'uniform'}",0.704081633,0.653061224,0.632653061,0.683673469,0.693877551,0.673469388,0.026608989,9
23,0.003191805,0.001163669,0.006382847,0.000488695,ball_tree,7,,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': None}",0.704081633,0.653061224,0.632653061,0.683673469,0.693877551,0.673469388,0.026608989,9
24,0.00279212,0.000746354,0.006981468,0.000892124,ball_tree,9,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'uniform'}",0.704081633,0.663265306,0.663265306,0.673469388,0.663265306,0.673469388,0.015808095,9
26,0.00319128,0.000746404,0.010572052,0.001849525,ball_tree,9,,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': None}",0.704081633,0.663265306,0.663265306,0.673469388,0.663265306,0.673469388,0.015808095,9
9,0.002393866,0.00048928,0.005384827,0.000488695,auto,9,uniform,"{'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'uniform'}",0.704081633,0.663265306,0.653061224,0.62244898,0.714285714,0.671428571,0.033781521,13
11,0.002193832,0.000398804,0.005186605,0.00074685,auto,9,,"{'algorithm': 'auto', 'n_neighbors': 9, 'weights': None}",0.704081633,0.663265306,0.653061224,0.62244898,0.714285714,0.671428571,0.033781521,13
54,0.001196718,0.000399065,0.005584955,0.000488811,brute,9,uniform,"{'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'uniform'}",0.704081633,0.663265306,0.653061224,0.62244898,0.714285714,0.671428571,0.033781521,13
56,0.001596022,0.00048885,0.005185795,0.000746812,brute,9,,"{'algorithm': 'brute', 'n_neighbors': 9, 'weights': None}",0.704081633,0.663265306,0.653061224,0.62244898,0.714285714,0.671428571,0.033781521,13
7,0.002193928,0.000399829,0.003590298,0.00101729,auto,7,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance'}",0.724489796,0.663265306,0.62244898,0.673469388,0.663265306,0.669387755,0.032653061,17
22,0.003391743,0.001017448,0.003589582,0.000798261,ball_tree,7,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance'}",0.693877551,0.673469388,0.62244898,0.683673469,0.673469388,0.669387755,0.024659277,17
52,0.001994848,0.000631204,0.00279274,0.000746519,brute,7,distance,"{'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance'}",0.724489796,0.663265306,0.62244898,0.673469388,0.663265306,0.669387755,0.032653061,17
25,0.004588079,0.001620781,0.005185747,0.000977058,ball_tree,9,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance'}",0.683673469,0.683673469,0.62244898,0.673469388,0.663265306,0.665306122,0.022725569,20
6,0.002992964,0.000631128,0.006382418,0.001352874,auto,7,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'uniform'}",0.683673469,0.673469388,0.653061224,0.62244898,0.693877551,0.665306122,0.025325865,21
8,0.002394056,0.00048922,0.00478673,0.000398994,auto,7,,"{'algorithm': 'auto', 'n_neighbors': 7, 'weights': None}",0.683673469,0.673469388,0.653061224,0.62244898,0.693877551,0.665306122,0.025325865,21
51,0.00259304,0.000489298,0.016754532,0.012948778,brute,7,uniform,"{'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'uniform'}",0.683673469,0.673469388,0.653061224,0.62244898,0.693877551,0.665306122,0.025325865,21
53,0.002194405,0.000747118,0.005185509,0.000399042,brute,7,,"{'algorithm': 'brute', 'n_neighbors': 7, 'weights': None}",0.683673469,0.673469388,0.653061224,0.62244898,0.693877551,0.665306122,0.025325865,21
28,0.008577251,0.011188475,0.003789902,0.000746608,ball_tree,11,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance'}",0.693877551,0.683673469,0.632653061,0.663265306,0.653061224,0.665306122,0.021789956,25
27,0.003391171,0.000798512,0.007180119,0.000976961,ball_tree,11,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'uniform'}",0.704081633,0.663265306,0.632653061,0.62244898,0.693877551,0.663265306,0.032268139,26
29,0.011569166,0.014719689,0.011568642,0.005802236,ball_tree,11,,"{'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': None}",0.704081633,0.663265306,0.632653061,0.62244898,0.693877551,0.663265306,0.032268139,26
43,0.003190994,0.000399232,0.012965679,0.016473086,kd_tree,11,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance'}",0.693877551,0.653061224,0.632653061,0.683673469,0.653061224,0.663265306,0.022356023,26
18,0.002193975,0.000399566,0.007180595,0.000398564,ball_tree,5,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.704081633,0.663265306,0.62244898,0.673469388,0.642857143,0.66122449,0.02768298,29
20,0.002726698,0.000740388,0.006382895,0.000798369,ball_tree,5,,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': None}",0.704081633,0.663265306,0.62244898,0.673469388,0.642857143,0.66122449,0.02768298,29
42,0.003391218,0.001017748,0.00658226,0.001353563,kd_tree,11,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'uniform'}",0.683673469,0.632653061,0.653061224,0.642857143,0.693877551,0.66122449,0.023624157,31
44,0.003789568,0.001163015,0.010571861,0.004019271,kd_tree,11,,"{'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': None}",0.683673469,0.632653061,0.653061224,0.642857143,0.693877551,0.66122449,0.023624157,31
19,0.002991772,0.000892123,0.003989553,0.000631279,ball_tree,5,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.693877551,0.663265306,0.612244898,0.663265306,0.663265306,0.659183673,0.026294079,33
36,0.003590441,0.000489376,0.006782103,0.00039866,kd_tree,7,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'uniform'}",0.683673469,0.632653061,0.62244898,0.673469388,0.683673469,0.659183673,0.026294079,33
38,0.003390741,0.001017374,0.006582451,0.000488578,kd_tree,7,,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': None}",0.683673469,0.632653061,0.62244898,0.673469388,0.683673469,0.659183673,0.026294079,33
40,0.003590345,0.001018196,0.003789949,0.000747513,kd_tree,9,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance'}",0.673469388,0.663265306,0.62244898,0.693877551,0.642857143,0.659183673,0.024659277,36
39,0.003789949,0.000746621,0.006781912,0.000398803,kd_tree,9,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'uniform'}",0.653061224,0.632653061,0.642857143,0.704081633,0.653061224,0.657142857,0.024659277,37
41,0.003391171,0.000489474,0.00618248,0.000977467,kd_tree,9,,"{'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': None}",0.653061224,0.632653061,0.642857143,0.704081633,0.653061224,0.657142857,0.024659277,37
37,0.003190899,0.001163497,0.004588366,0.000797868,kd_tree,7,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'distance'}",0.683673469,0.632653061,0.612244898,0.693877551,0.653061224,0.655102041,0.030544142,39
34,0.003790379,0.000746863,0.003988695,0.00089239,kd_tree,5,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.683673469,0.642857143,0.612244898,0.683673469,0.642857143,0.653061224,0.027380424,40
16,0.00379014,0.000977623,0.002592754,0.000798082,ball_tree,3,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.673469388,0.642857143,0.602040816,0.663265306,0.673469388,0.651020408,0.026920216,41
4,0.002194118,0.000746684,0.002592945,0.000798476,auto,5,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.714285714,0.642857143,0.612244898,0.62244898,0.642857143,0.646938776,0.035699705,42
31,0.003191757,0.000746914,0.003988934,0.00089271,kd_tree,3,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance'}",0.653061224,0.632653061,0.612244898,0.683673469,0.653061224,0.646938776,0.023799804,42
33,0.003391027,0.000798703,0.006582499,0.000488617,kd_tree,5,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.663265306,0.663265306,0.581632653,0.693877551,0.632653061,0.646938776,0.037961378,42
35,0.00358963,0.000798941,0.006184149,0.000399208,kd_tree,5,,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': None}",0.663265306,0.663265306,0.581632653,0.693877551,0.632653061,0.646938776,0.037961378,42
49,0.00179534,0.000746876,0.00319171,0.000978012,brute,5,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'}",0.714285714,0.642857143,0.612244898,0.62244898,0.642857143,0.646938776,0.035699705,42
1,0.002194023,0.000399065,0.002592945,0.000798238,auto,3,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance'}",0.653061224,0.612244898,0.62244898,0.663265306,0.663265306,0.642857143,0.021404262,47
