,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,0.941111374,0.043581408,0.001799774,0.000401335,logistic,0.01,adam,"{'activation': 'logistic', 'alpha': 0.01, 'solver': 'adam'}",0.704081633,0.704081633,0.765306122,0.734693878,0.765306122,0.734693878,0.027380424,1
44,0.938636494,0.031031306,0.002593327,0.00101756,logistic,0.1,adam,"{'activation': 'logistic', 'alpha': 0.1, 'solver': 'adam'}",0.714285714,0.714285714,0.744897959,0.714285714,0.775510204,0.732653061,0.024489796,2
29,0.942391205,0.043226102,0.002597904,0.000484077,logistic,0.0005,adam,"{'activation': 'logistic', 'alpha': 0.0005, 'solver': 'adam'}",0.704081633,0.704081633,0.795918367,0.693877551,0.755102041,0.730612245,0.039043115,3
35,0.924430752,0.01903477,0.002392817,0.000489065,logistic,0.005,adam,"{'activation': 'logistic', 'alpha': 0.005, 'solver': 'adam'}",0.683673469,0.693877551,0.755102041,0.704081633,0.795918367,0.726530612,0.042515646,4
41,0.914311314,0.00443217,0.002605867,0.00079215,logistic,0.05,adam,"{'activation': 'logistic', 'alpha': 0.05, 'solver': 'adam'}",0.714285714,0.673469388,0.765306122,0.714285714,0.765306122,0.726530612,0.034992711,4
26,0.995863533,0.091166213,0.002991915,0.00109319,logistic,0.0001,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'solver': 'adam'}",0.693877551,0.714285714,0.755102041,0.704081633,0.755102041,0.724489796,0.025814512,6
32,0.907489157,0.007234172,0.002393818,0.000489416,logistic,0.001,adam,"{'activation': 'logistic', 'alpha': 0.001, 'solver': 'adam'}",0.693877551,0.704081633,0.765306122,0.693877551,0.734693878,0.718367347,0.027833024,7
95,0.402450418,0.01545714,0.001994753,0.000892337,relu,0.5,adam,"{'activation': 'relu', 'alpha': 0.5, 'solver': 'adam'}",0.704081633,0.693877551,0.744897959,0.693877551,0.744897959,0.716326531,0.023624157,8
71,0.419576979,0.008631777,0.001994371,0.000892017,tanh,0.5,adam,"{'activation': 'tanh', 'alpha': 0.5, 'solver': 'adam'}",0.704081633,0.693877551,0.744897959,0.673469388,0.755102041,0.714285714,0.030950512,9
56,0.412336302,0.016378904,0.001617432,0.000483169,tanh,0.001,adam,"{'activation': 'tanh', 'alpha': 0.001, 'solver': 'adam'}",0.714285714,0.673469388,0.744897959,0.673469388,0.765306122,0.714285714,0.03707327,10
62,0.44543786,0.054791609,0.001795244,0.000399089,tanh,0.01,adam,"{'activation': 'tanh', 'alpha': 0.01, 'solver': 'adam'}",0.704081633,0.683673469,0.744897959,0.673469388,0.765306122,0.714285714,0.035347976,10
77,0.430173349,0.038921222,0.002595758,0.000490941,relu,0.0005,adam,"{'activation': 'relu', 'alpha': 0.0005, 'solver': 'adam'}",0.714285714,0.673469388,0.724489796,0.693877551,0.765306122,0.714285714,0.030950512,10
11,0.32722187,0.050433749,0.001998281,0.000631322,identity,0.005,adam,"{'activation': 'identity', 'alpha': 0.005, 'solver': 'adam'}",0.714285714,0.683673469,0.734693878,0.673469388,0.755102041,0.712244898,0.030544142,13
17,0.316983318,0.014279767,0.001799774,0.000747789,identity,0.05,adam,"{'activation': 'identity', 'alpha': 0.05, 'solver': 'adam'}",0.704081633,0.683673469,0.734693878,0.673469388,0.765306122,0.712244898,0.033781521,13
23,0.398278379,0.030549783,0.001994658,0.000631129,identity,0.5,adam,"{'activation': 'identity', 'alpha': 0.5, 'solver': 'adam'}",0.704081633,0.683673469,0.744897959,0.673469388,0.755102041,0.712244898,0.03252526,13
5,0.298801517,0.011319653,0.001795769,0.000399235,identity,0.0005,adam,"{'activation': 'identity', 'alpha': 0.0005, 'solver': 'adam'}",0.704081633,0.673469388,0.734693878,0.673469388,0.775510204,0.712244898,0.038936294,16
47,0.970972443,0.049548666,0.002199078,0.000396566,logistic,0.5,adam,"{'activation': 'logistic', 'alpha': 0.5, 'solver': 'adam'}",0.714285714,0.663265306,0.755102041,0.704081633,0.724489796,0.712244898,0.029854569,16
2,0.325330257,0.032406146,0.001599932,0.000795002,identity,0.0001,adam,"{'activation': 'identity', 'alpha': 0.0001, 'solver': 'adam'}",0.714285714,0.673469388,0.734693878,0.673469388,0.755102041,0.710204082,0.032653061,18
8,0.302990246,0.008377758,0.001599216,0.000491306,identity,0.001,adam,"{'activation': 'identity', 'alpha': 0.001, 'solver': 'adam'}",0.704081633,0.673469388,0.734693878,0.673469388,0.765306122,0.710204082,0.035699705,18
20,0.386753035,0.058850965,0.001795721,0.00074685,identity,0.1,adam,"{'activation': 'identity', 'alpha': 0.1, 'solver': 'adam'}",0.704081633,0.673469388,0.734693878,0.673469388,0.765306122,0.710204082,0.035699705,18
39,0.847738695,0.011320599,0.002004051,1.23E-05,logistic,0.05,lbfgs,"{'activation': 'logistic', 'alpha': 0.05, 'solver': 'lbfgs'}",0.744897959,0.653061224,0.704081633,0.714285714,0.734693878,0.710204082,0.032008953,18
45,0.911291361,0.060176145,0.002385473,0.000495468,logistic,0.5,lbfgs,"{'activation': 'logistic', 'alpha': 0.5, 'solver': 'lbfgs'}",0.704081633,0.673469388,0.734693878,0.683673469,0.755102041,0.710204082,0.030680197,18
50,0.390546656,0.010906008,0.002193546,0.000399184,tanh,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'solver': 'adam'}",0.704081633,0.683673469,0.734693878,0.673469388,0.755102041,0.710204082,0.030680197,18
53,0.39460063,0.006127333,0.002195072,0.000746939,tanh,0.0005,adam,"{'activation': 'tanh', 'alpha': 0.0005, 'solver': 'adam'}",0.714285714,0.683673469,0.734693878,0.673469388,0.744897959,0.710204082,0.027833024,18
59,0.419950962,0.012754159,0.002198839,0.000745911,tanh,0.005,adam,"{'activation': 'tanh', 'alpha': 0.005, 'solver': 'adam'}",0.704081633,0.673469388,0.724489796,0.673469388,0.775510204,0.710204082,0.037961378,18
68,0.428913307,0.01531937,0.002198458,0.000397403,tanh,0.1,adam,"{'activation': 'tanh', 'alpha': 0.1, 'solver': 'adam'}",0.704081633,0.683673469,0.734693878,0.673469388,0.755102041,0.710204082,0.030680197,18
74,0.395656204,0.005660227,0.001596594,0.000489124,relu,0.0001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'solver': 'adam'}",0.714285714,0.683673469,0.693877551,0.683673469,0.775510204,0.710204082,0.034513336,18
92,0.410470104,0.03745672,0.0021945,0.000399066,relu,0.1,adam,"{'activation': 'relu', 'alpha': 0.1, 'solver': 'adam'}",0.714285714,0.683673469,0.724489796,0.693877551,0.734693878,0.710204082,0.018925752,18
10,0.301724672,0.023967882,0.001600122,0.000795449,identity,0.005,sgd,"{'activation': 'identity', 'alpha': 0.005, 'solver': 'sgd'}",0.785714286,0.673469388,0.744897959,0.693877551,0.653061224,0.710204082,0.04855256,29
15,0.271087217,0.024885001,0.001795197,0.000746582,identity,0.05,lbfgs,"{'activation': 'identity', 'alpha': 0.05, 'solver': 'lbfgs'}",0.714285714,0.673469388,0.724489796,0.673469388,0.755102041,0.708163265,0.031351615,30
65,0.431696224,0.030239913,0.001595545,0.000489338,tanh,0.05,adam,"{'activation': 'tanh', 'alpha': 0.05, 'solver': 'adam'}",0.704081633,0.663265306,0.734693878,0.673469388,0.765306122,0.708163265,0.037961378,30
80,0.398400497,0.010505046,0.001997042,0.00063122,relu,0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'solver': 'adam'}",0.714285714,0.673469388,0.724489796,0.683673469,0.744897959,0.708163265,0.026294079,30
21,0.134602261,0.00591759,0.00170722,0.000744274,identity,0.5,lbfgs,"{'activation': 'identity', 'alpha': 0.5, 'solver': 'lbfgs'}",0.704081633,0.673469388,0.744897959,0.673469388,0.744897959,0.708163265,0.032008953,33
0,0.160279274,0.018088378,0.002398252,0.000485767,identity,0.0001,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'solver': 'lbfgs'}",0.714285714,0.673469388,0.714285714,0.673469388,0.755102041,0.706122449,0.030544142,34
6,0.114893293,0.015698167,0.00179491,0.000746761,identity,0.001,lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'solver': 'lbfgs'}",0.714285714,0.673469388,0.714285714,0.673469388,0.755102041,0.706122449,0.030544142,34
9,0.109108019,0.014252923,0.001795673,0.0009777,identity,0.005,lbfgs,"{'activation': 'identity', 'alpha': 0.005, 'solver': 'lbfgs'}",0.714285714,0.673469388,0.714285714,0.673469388,0.755102041,0.706122449,0.030544142,34
14,0.40960393,0.092316908,0.002192593,0.000396204,identity,0.01,adam,"{'activation': 'identity', 'alpha': 0.01, 'solver': 'adam'}",0.704081633,0.673469388,0.734693878,0.673469388,0.744897959,0.706122449,0.029854569,34
83,0.407942533,0.019664704,0.00159564,0.000488636,relu,0.005,adam,"{'activation': 'relu', 'alpha': 0.005, 'solver': 'adam'}",0.704081633,0.683673469,0.714285714,0.673469388,0.755102041,0.706122449,0.028425282,34
86,0.409621,0.024757806,0.001995373,0.000892497,relu,0.01,adam,"{'activation': 'relu', 'alpha': 0.01, 'solver': 'adam'}",0.704081633,0.693877551,0.704081633,0.683673469,0.744897959,0.706122449,0.020812325,34
93,0.353358316,0.008046843,0.001396036,0.000488442,relu,0.5,lbfgs,"{'activation': 'relu', 'alpha': 0.5, 'solver': 'lbfgs'}",0.724489796,0.683673469,0.704081633,0.693877551,0.724489796,0.706122449,0.016326531,34
