,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.161163521,0.001187902,0.011977816,0.001541919,log_loss,100,"{'criterion': 'log_loss', 'n_estimators': 100}",0.744897959,0.704081633,0.734693878,0.714285714,0.693877551,0.718367347,0.018925752,1
13,0.817815542,0.028129654,0.05125494,0.007293617,log_loss,500,"{'criterion': 'log_loss', 'n_estimators': 500}",0.734693878,0.704081633,0.744897959,0.683673469,0.693877551,0.712244898,0.023624157,2
2,0.178732395,0.011192189,0.013752937,0.002636708,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.744897959,0.683673469,0.714285714,0.683673469,0.724489796,0.710204082,0.023799804,3
7,0.161375952,0.003308689,0.010969496,0.001093518,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.714285714,0.704081633,0.714285714,0.704081633,0.714285714,0.710204082,0.004998959,3
8,0.801857901,0.005645148,0.048272705,0.001006281,entropy,500,"{'criterion': 'entropy', 'n_estimators': 500}",0.734693878,0.683673469,0.714285714,0.704081633,0.714285714,0.710204082,0.01657967,3
1,0.085373259,0.009822591,0.00717926,0.000399117,gini,50,"{'criterion': 'gini', 'n_estimators': 50}",0.765306122,0.663265306,0.683673469,0.704081633,0.724489796,0.708163265,0.035111532,6
4,1.629261446,0.042644428,0.103319979,0.012295056,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.724489796,0.693877551,0.714285714,0.693877551,0.704081633,0.706122449,0.011899902,7
3,0.858898115,0.029841754,0.051861143,0.002359933,gini,500,"{'criterion': 'gini', 'n_estimators': 500}",0.744897959,0.683673469,0.714285714,0.693877551,0.693877551,0.706122449,0.021789956,8
11,0.080789948,0.001648624,0.006575823,0.000485435,log_loss,50,"{'criterion': 'log_loss', 'n_estimators': 50}",0.704081633,0.673469388,0.724489796,0.693877551,0.714285714,0.702040816,0.017555766,9
14,1.619673109,0.018158989,0.101737213,0.011226185,log_loss,1000,"{'criterion': 'log_loss', 'n_estimators': 1000}",0.724489796,0.683673469,0.704081633,0.693877551,0.693877551,0.7,0.01384149,10
5,0.020544767,0.002998007,0.002792835,0.00039959,entropy,10,"{'criterion': 'entropy', 'n_estimators': 10}",0.714285714,0.683673469,0.683673469,0.714285714,0.693877551,0.697959184,0.01384149,11
9,1.622466564,0.032514432,0.094746208,0.00089869,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.714285714,0.683673469,0.724489796,0.693877551,0.673469388,0.697959184,0.018925752,11
10,0.018152857,0.000747685,0.002795792,0.000392993,log_loss,10,"{'criterion': 'log_loss', 'n_estimators': 10}",0.714285714,0.704081633,0.693877551,0.693877551,0.673469388,0.695918367,0.013537244,13
6,0.082387495,0.001843402,0.006375265,0.000492357,entropy,50,"{'criterion': 'entropy', 'n_estimators': 50}",0.683673469,0.683673469,0.673469388,0.704081633,0.714285714,0.691836735,0.014996876,14
0,0.028124809,0.00647552,0.003590345,0.001849787,gini,10,"{'criterion': 'gini', 'n_estimators': 10}",0.714285714,0.693877551,0.693877551,0.683673469,0.673469388,0.691836735,0.013537244,15
