,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54,0.011963797,0.000647359,0.005583858,0.000500172,2,2,auto,rbf,"{'C': 2, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.734693878,0.693877551,0.724489796,0.744897959,0.744897959,0.728571429,0.018925752,1
62,0.01276083,0.00074613,0.005593824,0.00048799,2,3,auto,rbf,"{'C': 2, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.734693878,0.693877551,0.724489796,0.744897959,0.744897959,0.728571429,0.018925752,1
70,0.014955473,0.00357013,0.009574318,0.007715219,2,4,auto,rbf,"{'C': 2, 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf'}",0.734693878,0.693877551,0.724489796,0.744897959,0.744897959,0.728571429,0.018925752,1
101,0.011155128,0.000420099,0.002612209,0.00049315,10,2,auto,poly,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.734693878,0.673469388,0.765306122,0.734693878,0.724489796,0.726530612,0.029854569,4
79,0.010579586,0.001203607,0.004374981,0.001025863,5,2,auto,sigmoid,"{'C': 5, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.744897959,0.704081633,0.724489796,0.704081633,0.744897959,0.724489796,0.018253616,5
87,0.010766602,0.000975501,0.003589439,0.001017872,5,3,auto,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.744897959,0.704081633,0.724489796,0.704081633,0.744897959,0.724489796,0.018253616,5
95,0.011154461,0.000393218,0.002808094,0.000393113,5,4,auto,sigmoid,"{'C': 5, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.744897959,0.704081633,0.724489796,0.704081633,0.744897959,0.724489796,0.018253616,5
96,0.006175327,0.000404243,0.002596092,0.000796254,10,2,scale,linear,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
100,0.005774689,0.000751959,0.002597284,0.00079916,10,2,auto,linear,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
104,0.006587124,0.000481315,0.002194118,0.000413212,10,3,scale,linear,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
108,0.006183147,0.000398989,0.002597761,0.00079425,10,3,auto,linear,"{'C': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
112,0.005983829,0.000631053,0.00259347,0.000489259,10,4,scale,linear,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
