,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.003590202,0.000488598,0.001595879,0.000798357,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",0.734693878,0.653061224,0.693877551,0.724489796,0.673469388,0.695918367,0.030544142,1
12,0.002991772,0.000630902,0.001795387,0.000746506,log_loss,10,"{'criterion': 'log_loss', 'max_depth': 10}",0.724489796,0.653061224,0.693877551,0.724489796,0.673469388,0.693877551,0.028130712,2
0,0.003227329,0.000385938,0.001791906,0.000384543,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.693877551,0.663265306,0.693877551,0.724489796,0.663265306,0.687755102,0.022908106,3
5,0.003989172,0.001092493,0.003590965,0.002863096,gini,,"{'criterion': 'gini', 'max_depth': None}",0.734693878,0.663265306,0.673469388,0.704081633,0.653061224,0.685714286,0.029854569,4
17,0.002600813,0.000482987,0.001593876,0.000488257,log_loss,,"{'criterion': 'log_loss', 'max_depth': None}",0.744897959,0.653061224,0.673469388,0.693877551,0.663265306,0.685714286,0.03252526,4
2,0.002792788,0.000398851,0.001396036,0.000488928,gini,40,"{'criterion': 'gini', 'max_depth': 40}",0.714285714,0.663265306,0.673469388,0.714285714,0.653061224,0.683673469,0.025814512,6
7,0.002592611,0.000488266,0.001995039,0.001261691,entropy,20,"{'criterion': 'entropy', 'max_depth': 20}",0.724489796,0.653061224,0.673469388,0.714285714,0.653061224,0.683673469,0.030270198,6
14,0.002792501,0.000399066,0.001196718,0.000398946,log_loss,40,"{'criterion': 'log_loss', 'max_depth': 40}",0.724489796,0.653061224,0.673469388,0.714285714,0.653061224,0.683673469,0.030270198,6
13,0.002593231,0.000798023,0.001795292,0.00074699,log_loss,20,"{'criterion': 'log_loss', 'max_depth': 20}",0.714285714,0.653061224,0.673469388,0.704081633,0.663265306,0.681632653,0.023624157,9
1,0.00219388,0.000398541,0.001994753,2.43E-07,gini,20,"{'criterion': 'gini', 'max_depth': 20}",0.714285714,0.663265306,0.673469388,0.704081633,0.653061224,0.681632653,0.023624157,10
15,0.002592707,0.000488247,0.001396465,0.000488967,log_loss,80,"{'criterion': 'log_loss', 'max_depth': 80}",0.724489796,0.653061224,0.673469388,0.704081633,0.653061224,0.681632653,0.028425282,10
4,0.008576632,0.00689805,0.002394104,0.001016738,gini,100,"{'criterion': 'gini', 'max_depth': 100}",0.693877551,0.663265306,0.673469388,0.714285714,0.653061224,0.679591837,0.021980265,12
9,0.002792454,0.000747143,0.001795149,0.000398923,entropy,80,"{'criterion': 'entropy', 'max_depth': 80}",0.704081633,0.653061224,0.673469388,0.714285714,0.653061224,0.679591837,0.025489788,12
16,0.002792597,0.000399351,0.000997257,5.72E-07,log_loss,100,"{'criterion': 'log_loss', 'max_depth': 100}",0.714285714,0.653061224,0.673469388,0.693877551,0.663265306,0.679591837,0.021980265,12
3,0.002788687,0.000744656,0.00159936,0.000473673,gini,80,"{'criterion': 'gini', 'max_depth': 80}",0.714285714,0.663265306,0.673469388,0.693877551,0.653061224,0.679591837,0.021980265,15
11,0.003191757,0.00039897,0.00179472,0.000746073,entropy,,"{'criterion': 'entropy', 'max_depth': None}",0.724489796,0.653061224,0.673469388,0.693877551,0.653061224,0.679591837,0.027074488,15
8,0.002592754,0.000488773,0.002194405,0.000399113,entropy,40,"{'criterion': 'entropy', 'max_depth': 40}",0.693877551,0.653061224,0.673469388,0.704081633,0.653061224,0.675510204,0.020812325,17
10,0.002592897,0.000488889,0.00179553,0.000746735,entropy,100,"{'criterion': 'entropy', 'max_depth': 100}",0.693877551,0.653061224,0.673469388,0.704081633,0.653061224,0.675510204,0.020812325,17
